"CASEID_1979","HHID_1979","FAMSIZE_1979","AGE_IN_DEC_79","BORN_USYES","MOTHER_EDUC","MOTHER_EDUC_MISSING","FATHER_EDUC","FATHER_EDUC_MISSING","RACEBlack","RACEHispanic","RACEMissing","RACENative American","RACEOther","RACEWhite","SEXMALE","URBAN_RURALRURAL","URBAN_RURALURBAN","HOME_LANGUAGEYes","MOTHER_OCCUPATION201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS","MOTHER_OCCUPATION260 TO 285: 260-285 SALES WORKERS","MOTHER_OCCUPATION301 TO 395: 301-395 CLERICAL AND KINDRED","MOTHER_OCCUPATION401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED","MOTHER_OCCUPATION601 TO 715: 601-715 OPERATIVES AND KINDRED","MOTHER_OCCUPATION740 TO 785: 740-785 LABORERS, EXCEPT FARM","MOTHER_OCCUPATION901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","MOTHER_OCCUPATION980 TO 984: 980-984 PRIVATE HOUSEHOLD","MOTHER_OCCUPATIONFARM","MOTHER_OCCUPATIONMissing","FATHER_OCCUPATION201 TO 245: 201-245 MANAGERS,OFFICIALS AND PROPRIETORS","FATHER_OCCUPATION260 TO 285: 260-285 SALES WORKERS","FATHER_OCCUPATION301 TO 395: 301-395 CLERICAL AND KINDRED","FATHER_OCCUPATION401 TO 575: 401-575 CRAFTSMEN,FOREMEN AND KINDRED","FATHER_OCCUPATION580 TO 590: 580-590 ARMED FORCES","FATHER_OCCUPATION601 TO 715: 601-715 OPERATIVES AND KINDRED","FATHER_OCCUPATION740 TO 785: 740-785 LABORERS, EXCEPT FARM","FATHER_OCCUPATION801 TO 802: 801-802 FARMERS AND FARM MANAGERS","FATHER_OCCUPATION821 TO 824: 821-824 FARM LABORERS AND FOREMAN","FATHER_OCCUPATION901 TO 965: 901-965 SERVICE WORKERS, EXCEPT PRIVATE HOUSEHOLD","FATHER_OCCUPATIONMissing","FAMILY_INCOME_78","FAMILY_INCOME_78_MISSING","POVSTATUS_78Missing","POVSTATUS_78NOT IN POVERTY","AFQT","Y"
2,2,5,19.0833333333333,0,5,0,8,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,22500,0,0,1,12,287000
3,3,5,17.6666666666667,1,10,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22500,0,0,1,51,236500
4,3,5,16.6666666666667,1,11,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22500,0,0,1,62,112850
6,5,4,18.8333333333333,1,12,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37500,0,0,1,99,183412.5
8,8,3,20.5833333333333,1,9,0,6,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17420.7361516035,1,1,0,43,106478.5
9,9,6,15.5833333333333,1,12,0,10,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17500,0,0,1,55,509000
14,13,5,15.8333333333333,1,12,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17420.7361516035,1,1,0,88,1024150
15,15,4,14.1666666666667,1,12,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22500,0,0,1,83,3753020
16,16,4,20.8333333333333,1,12,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,37500,0,0,1,63,36067.5
17,17,2,21.0833333333333,1,12,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17500,0,0,1,84,-9700
18,17,1,20.25,1,12,0,16,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,17420.7361516035,1,1,0,99,422000
20,20,5,19.9166666666667,1,12,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,1,54,615500
21,20,5,17.5,1,12,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37500,0,0,1,94,4638096.5
22,22,4,15.0833333333333,1,12,0,12,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,17500,0,0,1,84,349400
25,25,3,19.9166666666667,1,14,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,17420.7361516035,1,1,0,60,1776703
26,26,4,16.75,1,16,0,17,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37500,0,0,1,96,706000
27,27,4,18.4166666666667,1,14,0,20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22500,0,0,1,85,4638096.5
29,29,4,18.8333333333333,0,0,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22500,0,0,1,18,907297.5
30,29,4,20.9166666666667,0,10.8690857046641,1,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22500,0,0,1,14,642683
34,34,4,21,1,13,0,12,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22500,0,0,1,15,171500
37,37,4,20.8333333333333,1,12,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37500,0,0,1,60,1107000
38,37,4,16.6666666666667,1,12,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37500,0,0,1,17,432019
39,39,4,19.1666666666667,1,12,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22500,0,0,1,35,137010
40,40,3,18.1666666666667,1,10,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5500,0,0,1,38,791476
41,40,3,16.3333333333333,1,10,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5500,0,0,1,45,767650
42,42,4,15.75,0,14,0,12,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22500,0,0,1,20,227000
43,43,5,17.5,1,10,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17420.7361516035,1,1,0,9,-2900
